meg,avg_monthly_enrollment,gross_pmpm,premium_pmpm,net_pmpm,annual_budget_est
ABD Adult,8005,846.95,0,846.95,81358017.0
Dual Eligible,22380,366.71,0,366.71,98483637.6
General Adult,15000,415.86,0,415.86,74854800.0
New Adult Childless,38000,491.19,0,491.19,223982640.0
New Adult w/Child,22500,450.49,0,450.49,121632300.0
BD Child,1800,1129.82,0,1129.82,24404112.0
General Child,58480,285.39,0,285.39,200275286.4
CHIP,4411,184.55,0,184.55,9768600.6
Dr. D Expansion (IHIP),252,400.0,0,400.0,1209600.0
Pharmacy Only,9763,66.85,0,66.85,7831878.6
Vermont Premium Assist.,14165,31.85,0,31.85,5413863.0
Vermont Cost Sharing,4995,30.98,0,30.98,1856941.2
