meg,variance_type,budget_figure,actual_figure,variance,variance_pct,finding_root_cause,resolution_status
ABD Adult,Enrollment,8005,7402,(603),(7.53%),"Enrollment came in 7.53% below budget, consistent with the post-unwinding redetermination cycle removing members who no longer qualified once continuous enrollment protections ended.","MONITOR — Enrollment variance under recalibrated threshold (1 stdev = 6.3%, 1.5 stdev = 9.5%). GP 6/29/26"
ABD Adult,PMPM Cost,$846.95,$1171.49,+$324.54,+38.32%,"PMPM exceeded budget by 38.32%, the largest PMPM variance among the major adult categories. Consistent with DVHA's own documented finding that the population retained after redeterminations ('stayers') skewed costlier on average.","ESCALATE — PMPM variance under recalibrated threshold (1 stdev = 8.9%, 1.5 stdev = 13.4%). GP 6/29/26"
General Adult,Enrollment,15000,12351,(2649),(17.66%),"Enrollment came in 17.66% below budget, the largest percentage shortfall among the larger adult categories, consistent with the post-unwinding redetermination cycle removing parents/caretakers whose circumstances changed during the PHE.","ESCALATE — Enrollment variance under recalibrated threshold (1 stdev = 6.3%, 1.5 stdev = 9.5%). GP 6/29/26"
General Adult,PMPM Cost,$415.86,$568.79,+$152.93,+36.77%,"PMPM exceeded budget by 36.77%, consistent with a costlier retained population following redeterminations.","ESCALATE — PMPM variance under recalibrated threshold (1 stdev = 8.9%, 1.5 stdev = 13.4%). GP 6/29/26"
New Adult Childless,Enrollment,38000,35417,(2583),(6.80%),Enrollment came in 6.80% below budget. This category drove the largest single dollar overrun in SFY2022 due to PHE continuous enrollment; the SFY2025 contraction reflects the same population normalizing post-unwinding.,"MONITOR — Enrollment variance under recalibrated threshold (1 stdev = 6.3%, 1.5 stdev = 9.5%). GP 6/29/26"
New Adult Childless,PMPM Cost,$491.19,$584.85,+$93.66,+19.07%,"PMPM exceeded budget by 19.07%, consistent with the statewide 'stayer' cost pattern.","ESCALATE — PMPM variance under recalibrated threshold (1 stdev = 8.9%, 1.5 stdev = 13.4%). GP 6/29/26"
BD Child,Enrollment,1800,1928,128,+7.11%,"Enrollment exceeded budget by 7.11%, one of the few categories to grow. High-acuity disabled children are less likely to lose eligibility during redetermination since disability status is independently verified, not income-dependent.","MONITOR — Enrollment variance under recalibrated threshold (1 stdev = 6.3%, 1.5 stdev = 9.5%). GP 6/29/26"
BD Child,PMPM Cost,$1129.82,$1326.10,+$196.28,+17.37%,"PMPM exceeded budget by 17.37%, consistent with rising costs for high-acuity pediatric care.","ESCALATE — PMPM variance under recalibrated threshold (1 stdev = 8.9%, 1.5 stdev = 13.4%). GP 6/29/26"
CHIP,Enrollment,4411,5279,868,+19.68%,Enrollment exceeded budget by 19.68%. CHIP eligibility sits at a higher income band than core Medicaid; families who lost core Medicaid eligibility during redetermination may have shifted into CHIP rather than losing coverage entirely.,"ESCALATE — Enrollment variance under recalibrated threshold (1 stdev = 6.3%, 1.5 stdev = 9.5%). GP 6/29/26"
CHIP,PMPM Cost,$184.55,$227.18,+$42.63,+23.10%,"PMPM exceeded budget by 23.10%, consistent with broader pediatric cost growth.","ESCALATE — PMPM variance under recalibrated threshold (1 stdev = 8.9%, 1.5 stdev = 13.4%). GP 6/29/26"
Dr. D Expansion (IHIP),Enrollment,252,415,163,+64.68%,"Enrollment exceeded budget by 64.68%, the largest percentage variance in the portfolio. IHIP is a new, small, state-funded program (began July 2022) with no federal eligibility verification system; budget projections for a program with this little operating history carry wide uncertainty.","ESCALATE — Enrollment variance under recalibrated threshold (1 stdev = 6.3%, 1.5 stdev = 9.5%). GP 6/29/26"
Dr. D Expansion (IHIP),PMPM Cost,$400.00,$463.83,+$63.83,+15.96%,"PMPM exceeded budget by 15.96%, broadly consistent with the same cost-intensity pattern as the rest of the portfolio.","ESCALATE — PMPM variance under recalibrated threshold (1 stdev = 8.9%, 1.5 stdev = 13.4%). GP 6/29/26"
Dual Eligible,PMPM Cost,$366.71,$440.44,+$73.73,+20.11%,"PMPM exceeded budget by 20.11%, consistent with the broader 'stayer' cost-intensity pattern seen across nearly every category this fiscal year. Enrollment variance (-1.74%) stayed within the recalibrated monitor range.","ESCALATE — PMPM variance under recalibrated threshold (1 stdev = 8.9%, 1.5 stdev = 13.4%). GP 6/29/26"
New Adult w/Child,PMPM Cost,$450.49,$522.94,+$72.45,+16.08%,"PMPM exceeded budget by 16.08%, consistent with the broader cost-intensity trend. Enrollment variance (-5.12%) stayed within the recalibrated normal range.","ESCALATE — PMPM variance under recalibrated threshold (1 stdev = 8.9%, 1.5 stdev = 13.4%). GP 6/29/26"
General Child,PMPM Cost,$285.39,$329.20,+$43.81,+15.35%,"PMPM exceeded budget by 15.35%, consistent with the statewide cost-intensity trend. Enrollment variance (-5.62%) stayed within the recalibrated normal range.","ESCALATE — PMPM variance under recalibrated threshold (1 stdev = 8.9%, 1.5 stdev = 13.4%). GP 6/29/26"
Pharmacy Only,PMPM Cost,$66.85,$158.76,+$91.91,+137.49%,"PMPM exceeded budget by 137.49%, an order of magnitude larger than any other variance in this analysis and inconsistent with the Budget Book's own BAA/Gov. Rec. trendline for VPharm. The most likely explanation is a gross-vs-net (rebate-adjusted) reporting difference between the two source documents; this could not be confirmed from public data alone. Enrollment variance (-5.69%) stayed within the recalibrated normal range.","ESCALATE — PMPM variance under recalibrated threshold (1 stdev = 8.9%, 1.5 stdev = 13.4%). GP 6/29/26"
Vermont Premium Assist.,Enrollment,14165,12999,(1166),(8.23%),"Enrollment came in 8.23% below budget, consistent with marketplace enrollment volatility in this QHP-linked population, which is separate from core Medicaid continuous enrollment protections. PMPM variance (+8.67%) stayed within the recalibrated normal range.","MONITOR — Enrollment variance under recalibrated threshold (1 stdev = 6.3%, 1.5 stdev = 9.5%). GP 6/29/26"
Vermont Cost Sharing,Enrollment,4995,2175,(2820),(56.46%),"Enrollment came in 56.46% below budget, the single largest percentage swing in the analysis. This small QHP-linked population appears to have contracted sharply, consistent with marketplace dynamics affecting the related Premium Assistance category. PMPM variance (-1.32%) was favorable and within the recalibrated normal range.","ESCALATE — Enrollment variance under recalibrated threshold (1 stdev = 6.3%, 1.5 stdev = 9.5%). GP 6/29/26"
